Action,"Crouching Tiger, Hidden Dragon",https://www.allmovie.com/movie/crouching-tiger-hidden-dragon-v201837
Action,The French Connection,https://www.allmovie.com/movie/the-french-connection-v18617
Action,Raiders of the Lost Ark,https://www.allmovie.com/movie/raiders-of-the-lost-ark-v40118
Action,The Revenant,https://www.allmovie.com/movie/the-revenant-v597171
Action,Thelma & Louise,https://www.allmovie.com/movie/thelma-louise-v49351
Action,The Treasure of the Sierra Madre,https://www.allmovie.com/movie/the-treasure-of-the-sierra-madre-v50884
Action,The Dark Knight,https://www.allmovie.com/movie/the-dark-knight-v357349
Action,Skyfall,https://www.allmovie.com/movie/skyfall-v532632
Action,Hell or High Water,https://www.allmovie.com/movie/hell-or-high-water-v658871
Action,Die Hard,https://www.allmovie.com/movie/die-hard-v13728
Action,The Towering Inferno,https://www.allmovie.com/movie/the-towering-inferno-v50621
Action,Casino Royale,https://www.allmovie.com/movie/casino-royale-v292159
Action,House of Flying Daggers,https://www.allmovie.com/movie/house-of-flying-daggers-v296832
Action,Das Boot,https://www.allmovie.com/movie/das-boot-v60982
Action,The Poseidon Adventure,https://www.allmovie.com/movie/the-poseidon-adventure-v38807
Action,Mad Max: Fury Road,https://www.allmovie.com/movie/mad-max-fury-road-v503766
Action,Spider-Man 2,https://www.allmovie.com/movie/spider-man-2-v283387
Action,Batman Begins,https://www.allmovie.com/movie/batman-begins-v289465
Action,Iron Man,https://www.allmovie.com/movie/iron-man-v353425
Action,Sicario,https://www.allmovie.com/movie/sicario-v625866
Action,Planet of the Apes,https://www.allmovie.com/movie/planet-of-the-apes-v38295
Action,Marvel's The Avengers,https://www.allmovie.com/movie/marvels-the-avengers-v451151
Action,Deepwater Horizon,https://www.allmovie.com/movie/deepwater-horizon-v617175
Action,Speed,https://www.allmovie.com/movie/speed-v131239
Action,The Road Warrior,https://www.allmovie.com/movie/the-road-warrior-v64375
Action,Goldfinger,https://www.allmovie.com/movie/goldfinger-v20213
Action,The Killer,https://www.allmovie.com/movie/the-killer-v27286
Action,Batman,https://www.allmovie.com/movie/batman-v4278
Action,Predator,https://www.allmovie.com/movie/predator-v39013
Action,Iron Man 3,https://www.allmovie.com/movie/iron-man-3-v527818
Action,Spectre,https://www.allmovie.com/movie/spectre-v585084
Action,The Terminator,https://www.allmovie.com/movie/the-terminator-v49101
Action,The Bourne Ultimatum,https://www.allmovie.com/movie/the-bourne-ultimatum-v331166
Action,Monster House,https://www.allmovie.com/movie/monster-house-v319316
Action,Zootopia,https://www.allmovie.com/movie/zootopia-v586271
Action,The Raid: Redemption,https://www.allmovie.com/movie/the-raid-redemption-v548289
Action,X-Men: Days of Future Past,https://www.allmovie.com/movie/x-men-days-of-future-past-v562354
Action,From Russia With Love,https://www.allmovie.com/movie/from-russia-with-love-v18751
Action,Conan the Barbarian,https://www.allmovie.com/movie/conan-the-barbarian-v10702
Action,El Mariachi,https://www.allmovie.com/movie/el-mariachi-v15478
Action,Once Upon a Time in China,https://www.allmovie.com/movie/once-upon-a-time-in-china-v119263
Action,Shaun the Sheep Movie,https://www.allmovie.com/movie/shaun-the-sheep-movie-v582221
Action,Shaft,https://www.allmovie.com/movie/shaft-v44032
Action,Enter the Dragon,https://www.allmovie.com/movie/enter-the-dragon-v15899
Action,Iron Monkey,https://www.allmovie.com/movie/iron-monkey-v133630
Action,Escape from New York,https://www.allmovie.com/movie/escape-from-new-york-v16035
Action,Lethal Weapon,https://www.allmovie.com/movie/lethal-weapon-v29103
Action,Jurassic World,https://www.allmovie.com/movie/jurassic-world-v576633
Action,Slow West,https://www.allmovie.com/movie/slow-west-v624135
Action,Deadpool,https://www.allmovie.com/movie/deadpool-v615781
Action,Iron Man 2,https://www.allmovie.com/movie/iron-man-2-v451107
Action,In the Heart of the Sea,https://www.allmovie.com/movie/in-the-heart-of-the-sea-v586688
Action,Wings,https://www.allmovie.com/movie/wings-v54791
Action,Dunkirk,https://www.allmovie.com/movie/dunkirk-v642135
Action,22 Jump Street,https://www.allmovie.com/movie/22-jump-street-v581480
Action,Runaway Train,https://www.allmovie.com/movie/runaway-train-v42342
Action,The Warlords,https://www.allmovie.com/movie/the-warlords-v431538
Action,Hellboy II: The Golden Army,https://www.allmovie.com/movie/hellboy-ii-the-golden-army-v357814
